OPCODE Decimal,OPCODE Binary,Operation,Description,Implementation,Circuit Progress
0,00000,ADD,A + B,Arithmetic: A + B,TRUE
1,00001,SUB,A - B,Arithmetic: A - B (uses M=1),TRUE
2,00010,INC A,A + 1,Arithmetic: A + 1,TRUE
3,00011,DEC A,A - 1,Arithmetic: A - 1 (uses M=1),TRUE
4,00100,LSL / SLL,Shift left logical,Arithmetic: Shift A left by 1 bit,TRUE
5,00101,LSR / SRL,Shift right logical,Arithmetic: Shift A right by 1 bit,TRUE
6,00110,ASR,Arithmetic shift right,Arithmetic: Shift A right with sign extension,TRUE
7,00111,REV A,Reverse A bits,Arithmetic: Reverse bit order of A,TRUE
8,01000,NAND,A NAND B,Logic: Base NAND operation (INV_OUT=0),TRUE
9,01001,NOR,A NOR B,Logic: Base NOR operation (INV_OUT=0),TRUE
10,01010,XOR,A XOR B,Logic: Base XOR operation (INV_OUT=0),TRUE
11,01011,PASS A,Pass A through,Logic: Pass A to output unchanged,TRUE
12,01100,PASS B,Pass B through,Logic: Pass B to output unchanged,TRUE
13,01101,AND,A AND B,Logic: Implemented as NAND + invert (INV_OUT=1),TRUE
14,01110,OR,A OR B,Logic: Implemented as NOR + invert (INV_OUT=1),TRUE
15,01111,XNOR,A XNOR B,Logic: Implemented as XOR + invert (INV_OUT=1),TRUE
16,10000,CMP,Compare (A - B flags only),Arithmetic: A - B for flags, no output,TRUE
17,10001,NOT A,Invert A,Logic: Implemented as PASS A + invert (INV_OUT=1),TRUE
18,10010,NOT B,Invert B,Logic: Implemented as PASS B + invert (INV_OUT=1),TRUE
